date,video,video_title,average_percentage_viewed
2019-07-26,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,
2019-07-27,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,
2019-07-28,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,
2019-07-29,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,
2019-07-30,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,
2019-07-31,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,
2019-08-01,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,
2019-08-02,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,38.5487
2019-08-03,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,37.9426
2019-08-04,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,36.0358
2019-08-05,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,35.5171
2019-08-06,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,36.947
2019-08-07,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,36.1869
2019-08-08,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,37.3229
2019-08-09,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,36.573
2019-08-10,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,36.7412
2019-08-11,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,37.265
2019-08-12,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,37.9491
2019-08-13,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,35.8183
2019-08-14,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,37.4867
