date,video,video_title,views
2019-07-02,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1544
2019-07-03,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1389
2019-07-04,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1499
2019-07-05,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2059
2019-07-06,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2141
2019-07-07,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2325
2019-07-08,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2013
2019-07-09,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1983
2019-07-10,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1923
2019-07-11,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1643
2019-07-12,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1406
2019-07-13,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1563
2019-07-14,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1513
2019-07-15,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1318
2019-07-16,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1681
2019-07-17,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1936
2019-07-18,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2054
2019-07-19,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1890
2019-07-20,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2136
2019-07-21,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2325
2019-07-22,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2598
2019-07-23,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2137
2019-07-24,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2220
2019-07-25,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2131
2019-07-26,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2183
2019-07-27,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2445
2019-07-28,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2795
2019-07-29,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2521
2019-07-30,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2682
2019-07-31,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",3261
2019-08-01,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",3148
2019-08-02,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2891
2019-08-03,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2601
2019-08-04,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2727
2019-08-05,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2551
2019-08-06,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2324
2019-08-07,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2088
2019-08-08,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2115
2019-08-09,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2170
2019-08-10,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2421
2019-08-11,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2737
2019-08-12,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2168
2019-08-13,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2005
2019-08-14,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2062
2019-08-15,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1875
2019-08-16,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1847
2019-08-17,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1916
2019-08-18,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",2110
2019-08-19,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1955
2019-08-20,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1557
2019-08-21,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1378
2019-08-22,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1026
2019-08-23,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1011
2019-08-24,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",985
2019-08-25,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1305
2019-08-26,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1384
